name,tier,trending,tag,composite_score,efficacy,safety,research,onset,cost,drug_interaction_inverse,description,dose,tips,cycle
Saffron Affron (standardised extract),t2,False,Depression · PMS · Cognition,69,4,4,3,2,3,3,"Affron® is a standardised saffron extract (≥3.5% Lepticrosalides) developed by Pharmactive Biotech. Multiple RCTs at 28 mg/day support efficacy in mild-moderate depression and anxiety, with effect sizes comparable to standalone saffron. The 2025 Cheng NMA (PMID 40314175) ranks saffron monotherapies among the most effective nutraceuticals for depression (SMD 0.69 vs antidepressants). Caution with SSRI, MAOI, tramadol — additive serotonin syndrome risk.",14–28 mg/day Affron standardised extract (or equivalent lepticrosalide content); allow 4–8 weeks,"Take with food or water. Do not combine with antidepressants, MAOIs, or oral contraceptives without medical guidance. Allow 4–8 weeks to assess mood response.",
Hesperidin methyl chalcone,t2,False,Leg swelling · Circulation · Venous tone,69,3,5,2,3,3,5,"A modified form of hesperidin with improved water solubility and better absorption than standard hesperidin. Multiple European trials show it significantly reduces leg swelling, heaviness, and pain from venous insufficiency and varicose veins within 6 weeks. Often combined with diosmin in French vein-health formulas. Very safe with no known drug interactions at tested doses.",500 mg/day hesperidin methyl chalcone alone or as part of diosmin-HMC combination,Take with food. Consistent daily use for at least 6 weeks before assessing results. Combining with leg elevation and regular walking enhances circulation benefits.,
Caprylic acid C8 (targeted MCT),t2,False,Ketosis · Cognition · Gut antimicrobial,69,3,4,2,5,3,5,"The 8-carbon medium-chain fatty acid (C8) is the most ketogenic of the MCTs, bypassing the lymphatic system and converting to ketones in the liver within 30 minutes. Gram-for-gram it produces roughly 3× the ketone elevation of a standard C8/C10 blend and 6× that of coconut oil. Used clinically in the Axona formulation for mild Alzheimer's disease. Has direct antimicrobial activity against Candida albicans at the gut concentrations reached during oral dosing. Common starting dose is 5 g and builds gradually — starting at full dose reliably causes GI upset.",5–15 mL/day pure C8 MCT oil; start with 5 mL to avoid GI distress; more ketogenic than standard MCT,"Start with 5 mL per day and build up over 1–2 weeks to avoid nausea. Best added to coffee, smoothies, or food. Do not heat above 160°C — it degrades at high cooking temperatures.",
Proline (L-Proline),t2,False,Collagen synthesis · Wound healing · Skin,69,3,5,2,2,4,5,"The primary structural component of collagen, making up about 28% of all collagen residues. Your body synthesises proline from glutamate, but supplementation alongside vitamin C and glycine may support collagen production after injury or during aging. Often included in collagen stacks. Very safe at standard doses.","500–2,000 mg/day alongside vitamin C and glycine for collagen synthesis support",Take with vitamin C for optimal collagen synthesis — they work together. Can be taken with or without food. Morning is a convenient time. Very safe at all tested doses.,
"Amalaki/Amla (Emblica officinalis, standardised)",t2,False,Ayurveda · Antioxidant · Vitamin C source,69,3,5,2,2,4,5,"Indian gooseberry is one of the richest natural sources of vitamin C and contains unique tannins (emblicanin A/B) that are highly stable antioxidants. The Upadya 2019 (J Ayurveda Integr Med) study and Akhtar 2011 trial found standardised amla extract significantly reduced LDL cholesterol, triglycerides, and fasting blood glucose. Also improves endothelial function. Extremely safe with thousands of years of dietary use.","500–1,000 mg/day standardised extract (40% tannins); or 3–6 g/day whole fruit powder",Take with food. Extremely well tolerated. The vitamin C in amla is more heat-stable than synthetic ascorbic acid due to the protective tannin matrix. Can be used in cooking.,
Chondroitin sulfate (standalone),t2,False,Osteoarthritis · Cartilage preservation · Joint space · GAIT trial,69,3,5,4,2,3,3,"A structural glycosaminoglycan that draws water into the joint matrix, providing cushioning and reducing cartilage degradation enzymes (MMP-3, MMP-13). Unlike glucosamine, chondroitin has stronger evidence for slowing structural OA progression rather than just symptom relief. The MOAKS study found 800 mg/day significantly reduced cartilage loss on MRI at 24 months. A 2023 network meta-analysis ranked chondroitin above glucosamine for joint space preservation. Pain relief effect size is modest but comparable to low-dose NSAIDs without the GI risks. European OA guidelines recommend it as a slow-acting drug.","800–1,200 mg/day chondroitin sulfate; separate from other supplements; minimum 3-month trial for structural benefits",Take with food to minimise mild GI upset in some users. May mildly potentiate warfarin — check with your doctor if on anticoagulants. At least 3 months needed to assess benefit. The structural protective effect is gradual and cumulative — commit to daily use.,Safe for continuous long-term use indefinitely. Most benefit from sustained daily use. Stopping reverses structural protection within weeks.
Capsinoids (CH-19 sweet pepper),t2,False,Weight management · Thermogenesis · Metabolic,69,3,5,2,4,3,4,"Non-pungent analogues of capsaicin found in CH-19 sweet pepper. Unlike capsaicin, capsinoids do not activate oral TRPV1 receptors (no burning sensation), but stimulate intestinal TRPV1, activating sympathetically-driven fat oxidation and thermogenesis. Meta-analyses show consistent energy expenditure increases of 50–100 kcal/day and enhanced fat oxidation, particularly from visceral fat. No cardiovascular stimulation or GI irritation. Currently the safest thermogenic supplement option available.",6–10 mg/day with meals,Most effective when caloric intake is controlled; combine with moderate aerobic exercise; no cycling required,
Ashwagandha (KSM-66),t2,True,Stress · Anxiety · Sleep,68,4,3,4,2,3,3,"Helps lower stress and anxiety levels noticeably within weeks. Multiple 2024-2025 reviews show it significantly reduces the stress hormone cortisol. Safety data beyond 3 months is limited, and rare cases of liver injury have been reported. Best used in cycles of 8 to 12 weeks on, then 2 to 4 weeks off. Choose a standardized extract like KSM-66.","300–600 mg/day standardised extract; cycle 8–12 wks on, 2–4 off",Take with food or water. Split into morning and evening doses if using 600 mg. Avoid combining with thyroid medications. Stop 2 weeks before any planned surgery.,"Cycle 8-12 weeks on, 2-4 weeks off. Safety beyond 3 months not well established. Rare liver injury cases reported with continuous use. NCCIH recommends caution with prolonged use."
Elderberry (Sambucus nigra),t2,False,Cold/Flu · Immunity,68,3,4,3,4,3,4,"Traditional remedy with mixed modern evidence. The Hawkins 2019 meta-analysis of 4 small RCTs reported a ~2-day reduction in upper-respiratory symptom duration, but the larger Macknin 2020 RCT in children with influenza (Clinical Infectious Diseases) found no benefit over placebo and possibly a longer symptom course. Rich in antioxidants. Best used at the first sign of illness rather than daily. Generally well tolerated; raw berries, bark and leaves contain cyanogenic glycosides and must be cooked.",15 mL syrup × 4 daily for 3–5 days within 48 hrs of onset,Start at the very first sign of illness for best effect. Can be taken with or without food. Space doses evenly through the day. No known drug interactions.,
Taurine,t2,False,Cardiovascular · Metabolic · Aging,68,3,4,3,3,4,4,Body taurine declines with age. A 2024 review of 20 trials (808 people) found it significantly lowers resting heart rate (~3.6 bpm) and blood pressure (~4 mmHg) and improves cardiac pumping. A 2023 Nature study linked higher taurine to healthier aging in animals. Supports muscle function and cellular energy. Very safe with no serious side effects reported.,"500–3,000 mg/day in 2–3 divided doses with meals","Take with meals, split into 2–3 doses through the day. If on blood pressure medication, monitor BP as effects are additive. Can be taken at any time of day with food.",
Digestive enzymes,t2,False,IBS · Food intolerance · Bloating,68,3,4,3,4,3,4,Helps you digest food when your body doesn't produce enough enzymes on its own. Strong evidence for people whose pancreas doesn't make enough enzymes. A 2024 trial also found benefit for general bloating and indigestion. Lactase supplements are Cochrane-supported for lactose intolerance. Choose the right enzyme type for your specific issue.,"Lactase: 6,000–9,000 FCC units with dairy. Broad blend: 1 capsule with largest meal.",Take at the very start of a meal — digestive enzymes must be present when food arrives. Do not take away from meals. No food or drug interactions known.,
Bromelain,t2,False,Inflammation · Sinusitis · Recovery,68,3,4,3,4,3,4,A natural enzyme from pineapple stems that helps reduce swelling and pain. A 2024 review of 8 trials found it significantly reduces post-surgical swelling and recovery time. Approved in Germany as a treatment for sinus inflammation. Take between meals for anti-inflammatory effects or with meals to help digest protein. Generally well tolerated.,"500–1,000 mg/day (2,400–2,800 GDU/g) between meals for inflammation; with food for digestion",For inflammation: take between meals on an empty stomach. For digestion: take with the first bite of food. Avoid with blood-thinning medications — has mild anticoagulant activity.,
Andrographis paniculata,t2,False,Immunity · Cold/Flu · Inflammation,68,3,4,3,4,3,4,"A systematic review by Hu and colleagues (2017) pooling 33 RCTs concluded andrographis appears to shorten the duration and severity of acute upper-respiratory infections when started early, though most trials were small and of low–moderate quality. Best evidence is for standardised extracts (≥30% andrographolides) taken within 36–48 hours of symptom onset. Well-tolerated short-term. Avoid in pregnancy — possible uterotonic effects. Not for daily prevention.",400 mg standardised extract (≥30% andrographolides) × 3 daily for 5 days at symptom onset,Take at the very first sign of symptoms — effectiveness drops sharply beyond 36 hours. Take with or after food to reduce bitter taste and stomach upset.,
Spore-based probiotics (Bacillus coagulans),t2,False,Gut health · IBS · Resilience,68,3,4,3,3,3,5,"Spore-forming probiotics survive stomach acid and shelf storage better than traditional strains, so they don't need refrigeration. Bacillus coagulans has the strongest evidence among spore-based probiotics, with multiple trials showing reduced IBS symptoms and improved gut barrier function. Generally well tolerated with no major side effects.",1–2 billion CFU/day; survives stomach acid without enteric coating,Can be taken with or without food — spore probiotics survive stomach acid and do not need to be taken before meals. No refrigeration required.,
Pantothenic acid (Vitamin B5),t2,False,Energy · Adrenal support · Skin,68,2,5,2,4,5,5,"Essential for making coenzyme A, which your body needs to produce energy from food and synthesize hormones. True deficiency is extremely rare because this vitamin is found in nearly all foods. Supplementation may help with acne at higher doses, though evidence is limited. Very safe with no known upper limit for toxicity established.",5–10 mg/day (adequate intake); 500 mg+ studied for acne but evidence is limited,"Take in the morning with water and food. Water-soluble, so timing is flexible — but morning dosing avoids any mild stimulation. High doses (>1 g/day) may cause diarrhoea — stay within studied range unless supervised.",
Artichoke extract (Cynara scolymus),t2,False,Liver · Digestion · Cholesterol,68,3,5,3,2,3,4,"Artichoke leaf extract has moderate evidence for lowering LDL cholesterol and improving symptoms of indigestion. A 2018 Cochrane-style review found it reduced total cholesterol by roughly 10 to 15 percent in mildly elevated cases. It also stimulates bile production, which can ease bloating and discomfort after fatty meals. Very safe with minimal side effects in trials lasting up to 12 weeks.","600–1,800 mg/day standardised artichoke leaf extract, taken with meals",Take with meals to stimulate digestion. Avoid if you have gallstones — it increases bile flow. Morning or before the largest meal of the day works well.,
Betaine TMG (trimethylglycine),t2,False,Methylation · Homocysteine · Liver,68,3,4,3,3,4,4,"A methyl donor that helps your body convert homocysteine back to methionine, reducing cardiovascular risk. FDA-approved for the rare condition homocystinuria, and effective for lowering elevated homocysteine in the general population. Also supports liver health by preventing fat accumulation. Found naturally in beets and spinach. Very safe at recommended doses with decades of clinical use for homocystinuria.","500–3,000 mg/day; 6,000 mg/day for elevated homocysteine under medical supervision",Take with food and plenty of water — large doses can cause fishy body odour. Morning with breakfast is a good time. Safe to combine with B12 and folate.,
Aged garlic extract (Kyolic),t2,False,Cardiovascular · Blood pressure · Immune,68,3,5,3,2,3,4,"Regular garlic causes digestive upset and odour, but the aged extract form (Kyolic) is odourless and better tolerated. A meta-analysis by Ried (Exp Ther Med 2020) pooling 12 trials found aged garlic extract reduced systolic blood pressure by roughly 8 mmHg in hypertensive adults, with smaller effects in normotensive subjects. Coronary calcium trials (Budoff 2016) also suggest modestly reduced arterial plaque progression. The aging process converts harsh sulfur compounds into the gentler, more bioactive S-allyl cysteine.","600–1,200 mg/day aged garlic extract (standardised to S-allyl cysteine)",Take with food. Odourless so timing is flexible. Can be combined with omega-3s for cardiovascular support. Avoid with blood thinners at high doses.,
Pelargonium sidoides (Umckaloabo),t2,False,Acute bronchitis · Cold · Respiratory,68,3,4,3,4,3,4,"A South African plant extract with strong Cochrane-level evidence for acute bronchitis. The Timmer et al. 2013 Cochrane review (8 trials) found it significantly reduces symptom severity and duration of acute bronchitis and the common cold compared to placebo. Works best when started within the first 48 hours of symptoms. Generally well tolerated for short-term use of 7 to 10 days. Not for daily prevention, only acute illness.",EPs 7630 extract: 30 drops × 3 daily or 20 mg tablets × 3 daily for 7–10 days at symptom onset,"Take on an empty stomach if using liquid drops, or as directed for tablets. Start within 48 hours of symptom onset. Take 3 times daily as studied.",
Ivy leaf extract (Hedera helix),t2,False,Cough · Bronchitis · Respiratory,68,3,4,3,3,3,5,One of the best-studied herbal cough remedies in Europe. ESCOP approves it for productive cough associated with respiratory infections. A 2024 review of 10 trials confirmed it significantly reduces cough frequency and severity in both children and adults. Works by relaxing bronchial smooth muscle and thinning mucus. Very well tolerated with an excellent safety record in pediatric use.,100 mg dried leaf extract/day for adults; weight-adjusted for children; EA 575 extract best studied,Take with water at any time of day. The liquid extract is easiest for children. Can be combined with thyme for added benefit.,
Thyme extract (Thymus vulgaris),t2,False,Cough · Bronchitis · Antimicrobial,68,3,4,3,3,3,5,"ESCOP and German Commission E approved thyme for bronchitis and productive cough. A 2024 review found thyme extract significantly reduces cough frequency in acute bronchitis, especially when combined with ivy leaf. Contains thymol, a potent natural antimicrobial. Very safe with centuries of culinary and medicinal use. Most effective as a standardised liquid extract.",300–600 mg/day standardised thyme extract or 2–3 cups thyme tea; often combined with ivy leaf,"Drink 1–3 cups/day of warm tea throughout the day, or take standardised extract with meals. Can be combined with honey for extra throat soothing. Pairs well with ivy leaf for cough.",
Melatonin extended-release,t2,False,Sleep maintenance · Older adults,68,3,4,3,4,3,4,"Standard melatonin helps you fall asleep but wears off quickly. Extended-release formulations maintain blood levels throughout the night, helping people who fall asleep fine but wake at 2 to 4 AM. A 2024 review found extended-release melatonin at 2 mg significantly improves sleep maintenance in adults over 55. The EMA-approved Circadin brand (2 mg extended-release) has the most evidence.",2 mg extended-release 1–2 hours before bed; most effective for sleep maintenance in adults 55+,Take 1–2 hours before your target bedtime with water in a dimly lit room. Avoid alcohol and bright screens after taking. Do not crush the tablet.,
Zeaxanthin (standalone),t2,False,Eye health · Macular pigment · AMD,68,3,5,3,1,3,5,"One of two oxygenated carotenoids concentrated in the central macula (the other is lutein), where it absorbs blue-light photons before they damage photoreceptor outer segments. The AREDS2 trial established 2 mg zeaxanthin plus 10 mg lutein daily as the optimal combination for slowing progression to advanced AMD in at-risk patients — roughly a 25% reduction in progression over five years. Modest effects on visual performance metrics and digital eye strain have also been reported. Extremely safe; excess is excreted without toxicity and minor harmless skin yellowing can occur at very high intakes.",2–4 mg/day standalone or as part of the AREDS2 combination (2 mg zeaxanthin + 10 mg lutein),Take with a fatty meal — carotenoids are fat-soluble. Can be taken any time of day with food. Often combined with lutein in eye-health formulas.,
Lutein (standalone),t2,False,Eye health · Blue light · Macular,68,3,5,3,1,3,5,"The dominant carotenoid in macular pigment that protects against AMD and digital eye strain. The AREDS2 trial confirmed 10 mg per day significantly reduces advanced AMD risk. Also improves visual performance in people exposed to blue light from screens. Usually paired with 2 mg zeaxanthin. Found in spinach, kale, and eggs. Very safe — no toxicity ceiling established from food or supplements.",10 mg/day lutein (AREDS2 dose); pair with 2 mg zeaxanthin; take with a fatty meal for best absorption,Take with a meal containing fat for best absorption. Can be taken at any time of day. Pairing with zeaxanthin mirrors natural dietary ratios found in leafy greens.,
L-Glutamine (post-infectious IBS),t2,False,Gut barrier · IBS-D · Intestinal permeability,68,3,4,3,3,3,5,"The primary fuel for intestinal epithelial cells and lymphocytes. A 2019 Gut trial (Zhou et al.) found 15 g/day for 8 weeks significantly reduced IBS-D symptoms and restored gut barrier function in patients with diarrhea-predominant post-infectious IBS. Effects in other IBS subtypes are not established. Healthy people with an intact mucosa already synthesise large amounts of glutamine in skeletal muscle, and additional supplementation adds little — the indication is narrow and condition-specific.",15 g/day in 3 divided doses for post-infectious IBS-D; minimal benefit in general healthy population,Dissolve in water or juice. Take 30 min before or between meals for gut-barrier focus. Can be taken with food. No significant drug interactions at standard doses.,
Taurine (cardiac and metabolic),t2,False,Cardiovascular · Metabolic · Aging,68,3,4,3,3,4,4,"A conditionally essential amino sulfonic acid that regulates cellular hydration, mitochondrial function, and cardiac electrical stability. Circulating taurine declines by roughly 80% between young adulthood and late life. A 2024 meta-analysis of 20 randomised trials found 3–6 g/day lowered resting heart rate by ~3.6 bpm and blood pressure by ~4 mmHg. A 2023 Nature paper in aged mice and non-human primates linked taurine supplementation to improvements in multiple aging biomarkers, though the human healthspan trials are still years from reading out. Very safe at tested doses; avoid in bipolar mania.","500–3,000 mg/day in 2–3 divided doses; blood pressure effects are additive with antihypertensives","Take with meals split into 2–3 daily doses. If on blood pressure medication, monitor BP as effects are additive. Can be taken at any time of day.",
Evening primrose oil (EPO),t2,False,Women's health · PMS · Skin,68,3,5,3,2,3,4,"Rich in gamma-linolenic acid (GLA), an omega-6 fatty acid that modulates prostaglandin production. A 2024 meta-analysis of 8 trials found EPO significantly reduced breast pain (mastalgia) severity. Also shows modest benefits for eczema and PMS symptoms. Very safe at standard doses. NICE guidelines note it may help cyclical breast pain when taken for 3–6 months.","1,000–3,000 mg/day EPO (providing 80–240 mg GLA); take for at least 3 months for cyclical breast pain",Take with food for better absorption. Allow 3–6 months for full benefits in cyclical breast pain. Very safe for long-term use. Avoid before surgery due to mild antiplatelet effects.,
Green-lipped mussel (Perna canaliculus),t2,False,Joint · Anti-inflammatory · Omega-3,68,3,5,3,2,3,4,"A New Zealand shellfish (Perna canaliculus) providing a unique lipid fraction including eicosatetraenoic acid (ETA), omega-3s, and furan fatty acids with anti-inflammatory activity distinct from standard fish oil. Meta-analyses show clinically meaningful reductions in osteoarthritis pain and stiffness, with effect sizes comparable to NSAIDs but better tolerance. Stabilised lipid extract (Lyprinol/Pernaton) has the strongest evidence; freeze-dried powders are less reliable. Avoid with shellfish allergy.",200–400 mg standardised lipid extract or 1000–3000 mg freeze-dried powder daily,Lipid extract (Lyprinol) is more potent than powder; take with food; allow 4-8 weeks for joint benefits; contraindicated in shellfish allergy,
Pyridoxal 5-phosphate (P5P),t2,False,Vitamin B6 · Neurotransmitters · Homocysteine,68,3,4,3,3,4,4,"The bioactive coenzyme form of vitamin B6 that bypasses the hepatic conversion pyridoxine HCl requires. Preferred in those with impaired hepatic function, aldehyde oxidase deficiency, or on drugs that inhibit B6 conversion. Essential cofactor for over 140 enzymatic reactions including neurotransmitter synthesis (GABA, serotonin, dopamine), homocysteine methylation, and haem formation. Chronic high-dose pyridoxine HCl (>200 mg/day long-term) causes sensory neuropathy — P5P does not appear to carry the same risk but caution still warranted.",20–50 mg P5P daily; up to 100 mg short-term for specific indications,Take in the morning (can be stimulating); preferred over pyridoxine HCl for neuropathy history and liver disease; monitor for tingling/numbness suggesting neuropathy,
Bacillus clausii,t2,False,Probiotic · Antibiotic-associated diarrhoea,68,3,4,3,4,3,4,"A spore-forming probiotic (Enterogermina) used extensively in Europe, India, and Latin America for antibiotic-associated diarrhoea, paediatric diarrhoea, and IBS. Survives simultaneous antibiotic exposure due to intrinsic resistance to common antibiotics — making it uniquely suitable for concurrent use with antibiotics. Multiple RCTs support benefit in children and adults for acute diarrhoea. Naturally antibiotic-resistant strains theoretically raise horizontal-transfer concerns, though no clinical problems have emerged in decades of use.","2–6 billion spores daily, taken in 1–3 divided doses with or without food. Often dispensed as 5-mL liquid vials in Europe/India.",Can be taken concurrently with antibiotics (unlike most probiotics); often dispensed as liquid vials in Europe/India; particularly well-tolerated in children,
Algal oil (vegan DHA/EPA),t2,False,Omega-3 · Vegan · DHA,68,3,5,3,3,2,4,"DHA (and increasingly EPA) produced by microalgae (Schizochytrium, Crypthecodinium) — the original producers of marine omega-3s that fish accumulate through the food chain. Equivalent bioavailability to fish oil per gram EPA/DHA in head-to-head trials. The definitive omega-3 source for vegetarians/vegans and the cleanest option for heavy-metal avoidance. Cost per gram DHA is higher than fish oil but falling. The only strictly vegan way to reliably achieve DHA sufficiency.",500–2000 mg combined EPA+DHA daily (check product potency — varies widely),Check EPA:DHA ratio — pure DHA products lack EPA; store cool and dark; more expensive than fish oil but equivalent efficacy; essential for vegan pregnancy,
NAC (N-Acetyl Cysteine),t2,False,Antioxidant · OCD · Addiction,67,3,4,4,3,3,3,"Replenishes glutathione, your body's master antioxidant. Strong evidence as an add-on treatment for OCD, addiction cravings, and schizophrenia. IV NAC is the standard hospital treatment for Tylenol overdose. Supports respiratory health during illness. Mild anticoagulant effect at high doses — caution with warfarin. Long clinical safety record.","600–1,200 mg/day for general use; 1,200–2,400 mg/day for OCD/addiction in 2 divided doses with food",Take with food to reduce stomach upset. Space 2 hours from blood-thinning medications. Can be taken morning and evening. Avoid with chemotherapy unless supervised by an oncologist.,Safe for continuous use at standard doses. No cycling needed. Used clinically for years at a time for conditions like OCD and respiratory health.
Iodine,t2,False,Thyroid function · Deficiency,67,4,3,3,2,4,3,Essential for thyroid hormone production and fetal brain development. WHO estimates deficiency affects over 2 billion people and is the most common preventable cause of intellectual disability. Excess iodine is equally harmful — it can trigger thyroid dysfunction. Test urinary iodine and thyroid panel before supplementing. Iodised salt and seafood are usually sufficient.,"150–220 mcg/day if deficient; test urinary iodine and thyroid panel first; do not exceed 1,100 mcg/day","Take with food at any time of day. Space 4 hours from levothyroxine. Do not take with high-calcium foods, as calcium may impair absorption. Test levels before starting.",
Theacrine (TeaCrine),t2,False,Energy · Focus · Tolerance-free,67,3,4,2,4,3,5,"Provides clean energy similar to caffeine but without the tolerance buildup. 2024 trials found comparable energy and focus benefits with no tolerance even after 8 weeks of daily use. Unlike caffeine, it doesn't raise heart rate or blood pressure. Can be combined with caffeine for a stronger effect without jitters. Well tolerated in studies.",100–200 mg/day; can combine with caffeine for synergistic effect without jitters,Take in the morning or early afternoon with water. Avoid in the evening — may delay sleep. Can be taken with or without food.,
Dihydromyricetin (DHM),t2,False,Hangover · Liver protection · Alcohol metabolism,67,3,4,2,4,3,5,"A flavonoid from the Japanese raisin tree that has been proposed to accelerate alcohol metabolism. Small human trials (e.g. Chen 2020 at 300 mg) have been mostly negative or inconsistent for hangover severity, while animal and mechanistic work suggest upregulation of liver ADH and ALDH enzymes and possible liver-protective effects. Generally well tolerated short-term. Does not reduce acute impairment. Human evidence for hangover prevention remains weak.",300–600 mg before or during alcohol consumption; 600 mg studied in clinical trials,"Take with water 30–60 min before drinking, and a second dose just before bed if you continue drinking. Most effective when taken before the first drink. Do not use as a reason to drink more — DHM reduces acetaldehyde but not BAC or impairment.",
Elderberry + Zinc combo,t2,False,Cold/Flu · Immunity,67,3,4,2,4,3,5,"Combines two ingredients with individual evidence for shortening colds. Elderberry reduces cold duration by 2 to 4 days and zinc lozenges shorten colds by about 2 days when started early. The combination is popular in cold and flu products, though no trials have tested whether the pair works better than either ingredient alone. Both are well tolerated.",15 mL elderberry syrup + 15–30 mg zinc per day at first signs of illness for 3–5 days,Take at the first sign of illness. Zinc can be taken with a light snack if it causes nausea. Avoid zinc with dairy or high-fibre foods — they reduce absorption.,
Hesperidin,t2,False,Circulation · Venous insufficiency,67,3,5,2,2,3,5,"A citrus flavonoid found naturally in oranges and lemons that supports healthy blood vessel function. Multiple European trials show it significantly improves symptoms of chronic venous insufficiency including leg heaviness, swelling, and cramps. Commonly combined with diosmin in products sold throughout Europe for vein health. Very safe with no serious side effects.",500 mg/day hesperidin or 900 mg/day diosmin-hesperidin complex,Take with food. Timing is flexible. Safe to combine with other vein-support supplements like rutin or vitamin C.,
Bilberry extract,t2,False,Eye health · Circulation · Antioxidant,67,3,5,2,2,3,5,"Rich in anthocyanins and studied for eye fatigue, night vision, and circulation. Several small trials show modest improvements in screen-related visual fatigue and eye dryness. Night vision evidence is mixed and based largely on older studies. Very safe with no significant drug interactions and a long history of use in European herbal medicine.",80–480 mg/day standardised to 25% anthocyanins; best studied for eye fatigue and dryness,Take with food. Can be taken morning or evening. Safe to combine with other antioxidants. No significant drug interactions at standard doses.,
Butterbur (Petasites hybridus),t2,False,Migraine prevention · Allergies,67,4,3,3,2,3,4,"One of the few herbal supplements with strong evidence for migraine prevention. AAN and AHS guidelines previously recommended 150 mg per day based on trials showing a 48 percent reduction in migraine frequency. However, raw butterbur contains pyrrolizidine alkaloids that cause liver damage. Only PA-free certified extracts (like Petadolex) are safe. Product was withdrawn from German market in 2009 over quality concerns. Use only PA-free brands.",75 mg PA-free extract twice daily for migraine prevention; ONLY use certified PA-free products,Take with food. Only use PA-free certified products. Twice daily with meals. Avoid if you have ragweed allergy — possible cross-reaction.,
Magnesium taurate,t2,False,Cardiovascular · Blood pressure · Arrhythmia,67,3,5,2,3,3,4,"Combines magnesium with the amino acid taurine, both of which independently support cardiovascular health. The combination may offer synergistic blood pressure and heart rhythm benefits compared to other magnesium forms. Preferred by cardiologists for patients with arrhythmias or hypertension. Gentle on the stomach with minimal laxative effect. Less research than glycinate or citrate forms but strong theoretical rationale for cardiac use.",200–400 mg elemental magnesium from magnesium taurate; preferred for cardiovascular indications,Take with food in the evening — magnesium can have a calming effect and helps with sleep. Avoid taking with calcium supplements at the same time if possible.,
Vitamin C (liposomal),t2,False,Immunity · Absorption · Antioxidant,67,3,5,2,3,2,5,"Liposomal encapsulation wraps vitamin C in fat-based vesicles that bypass normal gut absorption limits. A 2024 trial found liposomal vitamin C achieves significantly higher blood levels than standard vitamin C at the same dose, approaching intravenous levels. Especially useful for people who get diarrhoea from standard vitamin C above 500 mg. More expensive than regular ascorbic acid. Choose products with verified liposomal encapsulation.","500–1,000 mg/day liposomal vitamin C; achieves higher blood levels than standard oral form","Take on an empty stomach for fastest absorption, or with a light meal. Avoid high-heat drinks. Can be taken morning or evening. Safe to combine with vitamin E and glutathione.",
Flaxseed oil (ALA omega-3),t2,False,Plant omega-3 · Inflammation · Heart,67,2,5,3,3,4,5,"The richest plant source of alpha-linolenic acid, a short-chain omega-3 fatty acid. However, your body converts only about 5 to 10 percent of ALA into the EPA and DHA that provide most omega-3 health benefits. A direct EPA/DHA supplement from fish or algae oil is far more efficient. Flaxseed oil is reasonable as a general anti-inflammatory for vegans who cannot take algal DHA, but should not be considered equivalent to fish oil.","1–2 tablespoons/day or 1,000–2,000 mg ALA capsules; NOT equivalent to EPA/DHA — conversion is only 5–10%",Take with a meal containing fat. Keep refrigerated and use within weeks of opening — goes rancid quickly. Do not heat or cook with it. Do not substitute for fish or algal oil.,
Marine collagen (fish-derived),t2,False,Skin · Joint · Bioavailability,67,3,5,2,3,2,5,"Fish-derived collagen peptides with smaller molecular weight than bovine collagen, potentially improving absorption. Proksch et al. 2014 (Skin Pharmacol Physiol, bovine collagen hydrolysate) and subsequent trials with marine collagen peptides found significant improvements in skin hydration, elasticity, and wrinkle depth at 8–12 weeks. Primarily type I collagen, which is the dominant collagen in skin. Suitable for people who avoid bovine or porcine products. More expensive than bovine collagen.",5–10 g/day marine collagen peptides; type I collagen — best for skin; take with vitamin C,Mix into a warm or cold drink. Take with vitamin C to boost collagen synthesis. Morning or evening both fine — consistency matters most.,
L-Carnosine,t2,False,Anti-glycation · Stomach health · Aging,67,3,5,2,2,3,5,"A dipeptide of beta-alanine and histidine that prevents sugar from attaching to proteins, a key driver of tissue aging. Multiple trials show it reduces H. pylori infection when combined with antibiotics. Rapidly broken down in the gut — zinc carnosine form is preferred for gut applications. Very safe at all tested doses.","1,000–2,000 mg/day L-carnosine; or 75 mg zinc carnosine × 2 for targeted gut applications","Take on an empty stomach or between meals for systemic anti-glycation effects. For gut protection, zinc carnosine form before meals is preferred. Very safe at all tested doses.",
Plant ceramides,t2,False,Skin · Gut barrier · Hydration,67,3,5,2,3,3,4,"Ceramides are structural lipids essential for skin barrier integrity and gut epithelial function. Plant-derived ceramides (from wheat gliadin, konjac, or rice bran) can be incorporated into skin membranes after oral ingestion. A French RCT using wheat-derived ceramides showed significant improvements in skin hydration, smoothness, and elasticity within 3 months. Emerging gut barrier data is also encouraging. A novel but biologically plausible supplement category with an excellent safety profile.",30–200 mg/day wheat gliadin ceramide complex with a fat-containing meal,Consistent daily intake for at least 4–8 weeks needed; wheat-derived forms are contraindicated in coeliac disease; take with fat for best absorption,
